大队,队站名称,联系电话(通讯室),中队地址,中队地址_纬度,中队地址_经度,中队地址_编码状态,中队地址_API信息
陆家嘴大队,大队通讯室,68879119,浦东大道981号,31.241432,121.529416,成功,OK
,梅园站,58976119,乳山路86号,31.233711,121.518235,成功,OK
,铜山站,68532347,昌邑路1095号,31.243764,121.531561,成功,OK
,塘东站,50450714,东绣路499号,31.207611,121.537122,成功,OK
,潍坊站,58953001,浦城路900号,31.21834,121.516493,成功,OK
度假区大队,大队通讯室,20991903,申迪北路619号,31.148594,121.662803,成功,OK
,申江站,68184119,康桥镇新苗村999号,31.119504,121.637924,成功,OK
,川展站,20991903,申迪北路619号,31.148594,121.662803,成功,OK
川沙大队,大队通讯室,50271200,新德路850号,31.195728,121.6873,成功,OK
,唐镇站,58961861,南曹路540,31.20023,121.660384,成功,OK
,沔北前置点,50181119,沔北路555号,31.165329,121.626039,成功,OK
,张江站,58951119,哈雷路650号,31.203993,121.603278,成功,OK
,川沙站,50969119,凌空路519号,31.190458,121.72225,成功,OK
,六灶站,50567119,聚溪路9号,31.113076,121.702657,成功,OK
保税区大队,大队通讯室,58825029、68620029,浦东北路1778号,31.309115,121.579141,成功,OK
,保税站,68872119,航津路1060号,31.330892,121.595414,成功,OK
,五洲站,68620019,浦东北路1778号,31.309115,121.579141,成功,OK
,高桥站,50405312,大同路1050号,31.333952,121.571255,成功,OK
外高桥大队,大队通讯室,68875119,金葵路1136号 ,31.23888,121.631582,成功,OK
,庆宁站,68509664,浦东大道2643号,31.265511,121.569387,成功,OK
,曹路站,58566177,金海路4091号,31.272563,121.686609,成功,OK
,金集北站,50708119,巨峰路970号,31.281196,121.610925,成功,OK
三林大队,大队通讯室,50688861、50688873,长清路2315号,31.136006,121.500753,成功,OK
,周浦站,68119119,上南路6819号,31.118759,121.563167,成功,OK
,航头站,58227119,航鹤路666号,31.035991,121.586485,成功,OK
,永泰站,50859621,浦三路3481号,31.146956,121.541373,成功,OK
,林南站,50562119,懿德路499号,31.119998,121.522299,成功,OK
,大浦港站,58370609,罗山路便道6007号,31.165449,121.586838,成功,OK
世博大队,大队通讯室,68878119,济明路393号,31.17114,121.475432,成功,OK
,前滩站,33831288,春眺路639号,31.1489,121.482873,成功,OK
,周渡站,58801276,世博馆路396号,31.179223,121.487744,成功,OK
,临沂站,58398119,世博大道176号,31.202968,121.507244,成功,OK
惠南大队,大队通讯室,58783119,拱为路2300号,31.058648,121.745098,成功,OK
,惠南站,58021119,拱为路2300号,31.058648,121.745098,成功,OK
,祝桥站,58104119,南祝路5580号,31.093136,121.759064,成功,OK
,江镇站,50899650,港洪路752号,31.176576,121.754835,成功,OK
临港大队,大队通讯室,68282119,环湖西三路365号,30.887597,121.918674,成功,OK
,大团站,58022119,永晨路365号,30.977358,121.751762,成功,OK
,芦潮港站,58075119,飞舟路8号,30.865518,121.844399,成功,OK
,书院站,58017119,定武路1519号,30.988486,121.857745,成功,OK
,滴水湖站,68283119,环湖西三路365号,30.887597,121.918674,成功,OK
,老港站,58061599,良欣路60号,31.047337,121.853234,成功,OK
,泥城站,68000119,鸿音路1634号,30.912565,121.818685,成功,OK
